tier,BZ_id,BZ_title,TMI_id,TMI_title,title_sim,doc_sim,shared
B,B74B,The marriage of the owl and the Moon,B601.17,Marriage To Coati-Puri,0.532,0.384,1
B,H7f2,Death becomes invisible,D1655.1.1,Invisible Arrows,0.532,0.400,1
B,E9i5,Snail-wife,A2181,Origin Of Snail,0.531,0.408,1
B,I81A,The chthonic crab,B178.1,Magic Crab,0.531,0.380,1
B,F9E,Mice in vagina,F547.5.6,Vagina In Forehead,0.531,0.381,1
B,I96,Bloody rainbow,G306,Rainbow As Ogre,0.531,0.491,1
B,B4A,Islands cut off by a fish,A692,Islands Of The Blest,0.531,0.471,1
B,B5A,Two creators: a dialogue,A15.2,Brothers As Creators,0.531,0.363,1
B,B16A,Sea from the urine,D562.2.2,Human Urine Softens Rock,0.531,0.467,1
B,N4,Ribs with no intervals,A1312.2,Why An Uneven Number Of Ribs,0.531,0.370,1
B,C33,Prometeus (the chained strong man),F631.1,Strong Man Drags Mill,0.530,0.418,1
B,M81e2,Attracting persons and animals from a distance,F512.2.1,Persons (Animals) With Four (Six) Eyes,0.530,0.387,1
B,L98,Dangerous owl,B461.2,Helpful Owl,0.530,0.374,1
B,N32,Sitting on several trees,H1461,Test: Sitting Up With Corpse,0.530,0.361,1
B,B116d,The “book” as a part of the stomach,M302.8,Prophecy From Book,0.530,0.482,1
B,B72,The thirsty cuckoo,A2435.4.1,Food Of Cuckoo,0.530,0.386,1
B,H7b2,The immortal Poverty,U60,Wealth And Poverty,0.529,0.441,1
B,L109,The cannibal gourd,A711.2,Sun As A Cannibal,0.529,0.445,1
B,D4C,Acquisition of summer,A1433,Acquisition Of Money,0.529,0.441,1
B,K47A,A woman and a dog,T554.2,Woman Bears Dog,0.529,0.360,1
B,I122,The Pleiades are bees,X1282,Lies About Bees,0.529,0.379,1
B,E9i2,Duck-wife,A2426.2.10,Why Duck Quacks,0.529,0.375,1
B,B61,The mole’s paw,A2332.6.5,Why Mole Is Blind,0.529,0.411,1
B,J36,Turtle as antagonist,B875.3,Giant Turtle,0.529,0.467,1
B,M75D,Vulture’s knife,D152.3,Transformation: Man To Vulture,0.528,0.437,1
B,I50A,Torn off legs of the helpful animal,B312.3,Helpful Animal(S) Bequeathed To Hero,0.528,0.388,1
B,B98A,Bat becomes an outcast,B449.3,Helpful Bat,0.528,0.361,1
B,E9C,Ungulate animal-wife,D314,Transformation: Ungulate Animal (Wild) To Person,0.528,0.411,1
B,I100C,The Pleiades and a cuckoo,E613.5,Reincarnation As Cuckoo,0.528,0.385,1
B,D4H,Swallow obtains fire,A2455.2,Why Swallow Is Thief,0.526,0.527,1
B,J23E,Flying though the ogre’s body,G362.2,Pug-Nosed Ogre,0.527,0.380,1
B,B45B,The bull of cold,F685,Marvelous Withstander Of Cold,0.527,0.371,1
B,E33,People from seeds,A1425.0.1,Hoarded Seeds,0.527,0.433,1
B,I82A,Venus is male,G207,Male Witch,0.527,0.412,1
B,I121,Twin constellations,F961.2.5.1,Constellations Bewail Man's Death,0.527,0.391,1
B,M75D,Vulture’s knife,A2317.7,Why Vulture Is Bald,0.527,0.409,1
B,I20B,Belt on armpits,F829.3,Extraordinary Belt,0.527,0.394,1
B,I37D,Mushrooms are excrements,D1610.6.4,Speaking Excrements,0.527,0.459,1
B,M74,Vomits compared,F1041.20,Person Vomits Iron,0.527,0.395,1
B,I44,Chthonic serpent,B91.2,Plumed Serpent,0.527,0.418,1
B,H36gg,Death and the coyote,A522.1.3,Coyote As Culture Hero,0.526,0.368,1
B,I45B,Not to point at the rainbow,G306,Rainbow As Ogre,0.526,0.391,1
B,B42h2,Reddish star is the arrow,D1610.9.2,Speaking Arrow,0.526,0.353,1
B,I35A,Old woman’s thunder,D1470.2.4,Supplies From Toe Of Old Woman,0.526,0.378,1
B,M5C,The hairy octopus,K366.8,Thieving Octopus,0.526,0.448,1
B,G11,Squirrel the woodcutter,A2435.3.13,Food Of Squirrel,0.526,0.463,1
B,A23B,First beams on the tree tops,E501.16.2,Wild Hunt Disappears With Movement Of Tree Tops,0.526,0.406,1
B,G9,Restored forest,F812,Extraordinary Forest,0.526,0.358,1
B,E38C,First people are dumb,A2422.3,Why White Crow Is Dumb,0.525,0.353,1
B,L98,Dangerous owl,B623.2,Owl As Suitor,0.525,0.374,1
