tier,ATU_id,ATU_title,TMI_id,TMI_title,title_sim,doc_sim,shared
B,280A,The Ant and the Cricket,B486.2,Helpful Cricket,0.621,0.381,1
B,280A,The Ant and the Cricket,A2063,Creation Of Cricket,0.618,0.379,1
B,1262*,Spitting into the Porridge,A1399.3,Origin Of Spitting,0.616,0.404,1
B,242,The Crow's Oath,B279.2,Attitudes Of Animals Toward Oath,0.613,0.394,1
B,244A*,The Crane and the Heron,B463.2,Helpful Heron,0.611,0.395,1
B,150A*,The Frog's Counsels,A2412.5.2.1,Why Frog Is Spotty All Over,0.609,0.455,1
B,182,The Helpful Animal and the Snake,B312.3,Helpful Animal(S) Bequeathed To Hero,0.606,0.374,1
B,280A,The Ant and the Cricket,B285.2,Wedding Of Cricket,0.605,0.377,1
B,1349M*,The Answered Prayer,V58.4,Handwashing Before Prayer,0.603,0.370,1
B,1349M*,The Answered Prayer,V50,Prayer,0.603,0.370,1
B,179A*,The Bear Pursues the Man,R262,Magic Eel Pursues Man Over Land,0.602,0.389,1
B,186,The Monkey and the Nut,F813.3,Extraordinary Nut,0.602,0.411,1
B,1855C,The Rescuer's Sabbath,R169.16,Death As Rescuer,0.601,0.380,1
B,157B,The Sparrow and his Sons,B451.7,Helpful Sparrow,0.601,0.422,1
B,297B,The War of the Mushrooms,P552.4,War-Machines,0.599,0.477,1
B,244A*,The Crane and the Heron,A2411.2.5.2,Color Of Heron,0.599,0.387,1
B,157B,The Sparrow and his Sons,A1927,Creation Of Sparrow,0.598,0.420,1
B,219H*,The Rooster and the Pearl,N529.2,Pearl Found In Fish,0.598,0.432,1
B,1162,The Iron Man and the Ogre,D94,Transformation: Man To Ogre,0.597,0.352,1
B,1864,Anecdotes about Madmen,X540,Jokes On Madmen,0.596,0.437,1
B,244A*,The Crane and the Heron,E613.9,Reincarnation As Heron,0.595,0.382,1
B,231**,The Falcon and the Doves,X1256,Lies About Doves,0.591,0.428,1
B,157B,The Sparrow and his Sons,B211.3.7,Speaking Sparrow,0.588,0.413,1
B,157B,The Sparrow and his Sons,A2411.2.1.11,Color Of Sparrow,0.587,0.412,1
B,1288B,The Stolen Donkey,E611.1.2,Reincarnation As Donkey,0.586,0.389,1
B,179A*,The Bear Pursues the Man,E261.1,Wandering Skull Pursues Man,0.585,0.408,1
B,910M,Prayers for the Tyrant,J1281,"""If I Were A Tyrant You Would Not Say So",0.583,0.386,1
B,1485*,Pretty Lips,F531.1.4,Lips Of Giant,0.583,0.431,1
B,299,The Mountain Gives Birth to a Mouse,A955.9,Goddess Gives Birth To Islands,0.583,0.430,1
B,1830,Producing the Weather,A1135,Origin Of Wintry Weather,0.583,0.350,1
B,1177**,Fetching the Woman's Grindstone,A1446.5.3,Origin Of The Grindstone,0.581,0.487,1
B,1701,Echo Answers,A497,Echo,0.581,0.470,1
B,1698H,The Deaf Man in the Tree,X111.6,The Deaf Man And The Proud Nobleman,0.580,0.356,1
B,186,The Monkey and the Nut,D1610.22,Speaking Nut,0.579,0.395,1
B,1276*,Prayer for a Change of Wind,V58.4,Handwashing Before Prayer,0.577,0.398,1
B,1276*,Prayer for a Change of Wind,V50,Prayer,0.577,0.398,1
B,1897,The Pike Caught by the Fox,B475,Helpful Pike,0.577,0.417,1
B,182,The Helpful Animal and the Snake,B320,Reward Of Helpful Animal,0.576,0.356,1
B,1526A**,Waiting until the Tower Falls,F772.2.5,Dolorous Tower,0.575,0.360,1
B,103,War between Wild Animals and Domestic Animals,B845,Wild Animals Herded,0.575,0.354,1
B,1897,The Pike Caught by the Fox,A2111,Creation Of Pike,0.574,0.415,1
B,299,The Mountain Gives Birth to a Mouse,T554.10,Woman Gives Birth To A Bird,0.574,0.386,1
