model,n_clusters_found,silhouette_score,davies_bouldin_score,adjusted_rand_score,normalized_mutual_info,v_measure,separation_ratio,noise_ratio
kmeans,5,0.05352201859639243,3.925182724199287,0.5235940603640962,0.6206112603482865,0.6206112603482867,0.6246022881820671,0.0
agglomerative,1436,,,0.0,0.36405337203128346,0.3640533720312835,0.0,0.0
dbscan,4,0.05330563583099316,2.2930582578042706,0.05956690401946078,0.223195420691645,0.22319542069164494,1.102769750065704,0.06824512534818941
